id,lang,answer_ending,label (context_request / generic_offer / none)
225,en," or minimum fee for certain card-to-card transfers, depending on the card type.

There is no single cheapest option for every case:

- **Domestic card/IBAN transfer:** monobank is usually a strong choice.
- **Using credit funds:** fees are much higher at nearly all banks.
- **International transfer:** compare SWIFT fees, intermediary-bank fees, and the exchange-rate spread; wartime NBU restrictions may apply.
- **Transfer between your own accounts:** usually free.

Check the tariff page and the fee shown before confirming, since Ukrainian banks change tariffs frequently. If you specify **domestic or international, currency, destination country, and approximate amount**, I can narrow it down.",
228,uk,"и
- **Rozetka** — rozetka.com.ua  
- **COMFY** — comfy.ua  
- **Foxtrot** — foxtrot.com.ua  
- **MOYO** — moyo.ua  
- **ALLO** — allo.ua  
- **Citrus** — citrus.ua  

### Магазини комп’ютерної техніки
- **Telemart** — telemart.ua  
- **Brain** — brain.com.ua  
- **KTC** — ktc.ua  
- **ITbox** — itbox.ua  

### Для порівняння цін
- **Hotline** — hotline.ua  
- **E-Katalog** — ek.ua  

Раджу спочатку знайти модель через Hotline, а потім перевірити продавця, офіційну гарантію та умови повернення. На маркетплейсах на кшталт Rozetka звертайте увагу, **хто саме продавець** — сама Rozetka чи сторонній магазин. Також перевіряйте розкладку клавіатури, версію Windows і чи не продається ноутбук без ОС.",
231,en," Compare the **effective annual yield**, not only the advertised rate.
- Deposit interest is generally subject to **18% personal income tax plus 5% military levy**, so a 17% gross rate is roughly **13.09% net**.
- The deposit guarantee applies **per person, per bank**. During martial law, eligible individual deposits are generally guaranteed in full; verify current terms with Ukraine’s Deposit Guarantee Fund at `fg.gov.ua`.
- Also compare **UAH government bonds (ОВДП)**: their income is generally tax-exempt for individuals and can produce a better net return than a bank deposit.

The exact best choice depends mainly on whether you want **UAH, USD, or EUR** and a **3-, 6-, or 12-month** term.",
234,en,"name.
2. Whether the device is officially imported into Ukraine and has a **manufacturer/authorized-service warranty**.
3. Whether you receive a **fiscal receipt** and warranty documents.
4. The seller’s legal details, return address, and service procedure.
5. Serial number/IMEI, seals, package condition, and activation status.
6. Whether the unusually low price means a “gray” import, refurbished device, or store-only warranty.

**Recommendation:** For expensive electronics, buy from a specialized chain or an official marketplace seller. For accessories and lower-cost products, a reputable marketplace seller is usually fine. Avoid advance payment to little-known sellers outside the platform.",
237,en,"e** if required.
6. Pay for postage and keep the tracking number.

### Important restrictions

Do not send weapons, explosives, narcotics, cash, many aerosols or flammable liquids, and other prohibited goods. Restrictions often apply to:

- lithium batteries and power banks;
- medicines;
- alcohol and tobacco;
- food, seeds, plants, and animal products;
- antiques, artworks, and objects that may be considered cultural property;
- precious metals or jewelry.

The destination country may charge **import VAT or customs duty**, usually to the recipient. Rules and available routes can change, so check the carrier’s official prohibited-items list and shipping calculator immediately before sending.",
238,uk,"іків, бронювання/замовлення в аптеках, також є доставка.
- **[Аптека 9-1-1](https://apteka911.ua/ua)** — онлайн-замовлення та отримання у вибраній аптеці мережі.
- **[АНЦ](https://anc.ua/)** — бронювання на сайті або в застосунку з самовивозом.
- **[Подорожник](https://podorozhnyk.ua/)** — онлайн-замовлення й отримання в аптеці.
- **[Аптека Доброго Дня](https://www.add.ua/ua/)** — резервування препаратів із самовивозом.

Зазвичай потрібно вказати місто, знайти препарат, вибрати аптеку й дочекатися SMS-підтвердження. Перевірте термін резерву та кінцеву ціну — вони можуть відрізнятися між аптеками. Для рецептурних препаратів під час отримання може знадобитися **е-рецепт або паперовий рецепт**.",
240,en,"er of home appliances and electronics and **MOYO** lists over **40,000 certified products** from more than **350 manufacturers**.[9][15][1]

If you want the **widest electronics-only focus**, **MOYO** and **Comfy** are strong picks because they are national chains with large assortments and many stores across Ukraine.[1][4][15] **Foxtrot** is also one of the largest electronics and appliance chains by store count and sales volume.[3][6][14]

If you want the **single biggest general marketplace with electronics among many categories**, **Rozetka** is the most likely answer.[9][20]

If you tell me your city, I can point you to the **best local store or mall** with the largest selection nearby.",
243,uk,"я одного замовника.[6]
- **понад 10 т або спецтехніка** — зазвичай потрібна логістична компанія, що працює саме з великогабаритними перевезеннями.[2]
- якщо вантаж **виходить за межі кузова** або перевищує нормативи по ширині/висоті/довжині/масі, це вже **негабаритне перевезення**.[12][18]

Що робити найшвидше:
- описати **вагу, довжину, ширину, висоту**;
- вказати **маршрут**;
- уточнити, чи потрібні **завантаження/розвантаження, пакування, супровід, дозволи**;
- звернутися до перевізника, який має **трали / низькорамники / спецтехніку**.[1][10][16]

Якщо хочете, я можу **підібрати конкретний тип транспорту під ваш вантаж** — просто напишіть **вагу, розміри та місто відправлення/доставки**.",
255,uk,"нями.[15] У МОЗ і МЗУ також повідомляли про закупівлю інноваційних препаратів для пацієнтів із рідкісними та тяжкими захворюваннями.[4][7]

Практичний алгоритм:

- перевірити назву препарату в **ФармаЛад**, **Моя Аптека** або **Подорожник**;
- якщо ліки призначені лікарнею — перевірити **ЄЛіки / Liky UA** або сайт вашого медзакладу/обласного департаменту;
- зателефонувати в аптеку чи лікарню, бо дані про залишки можуть оновлюватися із затримкою;
- попросити лікаря підібрати **аналог за МНН** або альтернативу в межах тієї ж діючої речовини.[6][10]

Якщо хочете, я можу одразу скласти для вас **короткий список саме по вашому препарату**: напишіть **назву ліків, дозування і ваше місто/область**.",
260,en," directory also names night-duty pharmacies such as **Borsuk**, **Simeina Apteka**, **Edelweiss**, **Pulse**, and others, though the snippet does not clearly mark every one as 24/7.[4]

- **Odesa:**  
  - **Gaevsky and Popovsky Pharmacy** is described as working **24 hours a day, without days off and public holidays**.[5]

- **Uzhhorod:**  
  - The list shows several pharmacies marked **“Цілодобово”** (24 hours), including locations on **Poshtova Sq. 4**, **Sobranecka 118**, **Mynaiska 26**, **Svobody Ave. 52**, and **Mynaiska 71**.[1]

If you want, I can also give you a **city-by-city list for a specific Ukrainian city** or help you find the **nearest 24/7 pharmacy** based on your location.",
262,uk,"Якщо говорити саме про **найбільший асортимент**, то за наявними рейтингами лідирує **АНЦ**: у неї вказують близько **32 000 найменувань** ліків і товарів для здоров’я, а також понад **30 000 товарних пропозицій** у холдингу АНЦ.[2][12]

Для порівняння, **Подорожник** має близько **25 000 SKU**, а **Аптека 9-1-1** — близько **21 000** товарів.[2][10]

Якщо ж вам важлива **не ширина асортименту, а кількість аптек**, то найбільшою мережею в Україні є **Подорожник**.[7][12][13]

**Коротко:**  
- **Найбільший асортимент — АНЦ**.[2][12]  
- **Найбільша мережа за кількістю аптек — Подорожник**.[7][12][13]",
265,en,"8][3][7][5][4][16]

A few practical options from the results:

- **ROZETKA** — delivery to all of Ukraine, with pickup at Rozetka stores and courier options.[8]
- **ALLO** — delivery by Nova Post, UkrPoshta, and Meest across Ukraine, plus express delivery in some cities.[3]
- **Foxtrot** — delivers orders across Ukraine and offers free in-store pickup.[7]
- **Citrus** — offers delivery via Nova Poshta, Ukrposhta, courier, or store pickup.[5]
- **JustBuy** — advertises free delivery across Ukraine and has a Kyiv store.[4][14][17]
- **lifecell shop** — sells smartphones online in Ukraine.[16]

If you want, I can also help you choose the **best store by city**, **price**, or **delivery speed**.",
270,uk,"атеріал 2026 року теж ставить **АНЦ на 1 місце** серед аптек, де вигідніше купувати ліки.[6]
- Якщо орієнтуватися не на “найкращу”, а на **найбільшу мережу**, то у топ-5 за кількістю аптек згадують, зокрема, **Подорожник** та інші великі мережі.[2]

**Практично:**  
- **Найдешевше / вигідно** — часто дивляться на **АНЦ**.[1][6][15]
- **Добрий баланс асортименту й сервісу** — **Подорожник** або **Доброго Дня**.[3][7]
- **Щоб обрати саме у вашому місті**, краще порівняти **ціни на конкретні ліки** через агрегатори аптек, бо навіть у сильних мережах ціни й наявність відрізняються.[12][13][14]

Якщо хочете, я можу **підібрати найкращу аптеку саме для вашого міста або для конкретного препарату**.",
275,uk,"заправних мереж і отримала найвищий сукупний бал у порівняннях.[8][10][17]

Але якщо ви питаєте саме про **магазин**, а не АЗС, то в цих результатах немає однозначного загальноукраїнського рейтингу всіх супермаркетів. Є лише окремі згадки про **Сільпо** в огляді програм лояльності супермаркетів, але без фінального висновку в наданому фрагменті.[12]

Щоб відповісти точніше, варто звузити запит:
- **супермаркет**: Сільпо, АТБ, Novus, Metro, Varus
- **АЗС**: ОККО / WOG / Shell / KLO
- **банк/кредитка**: ПУМБ, Sense Bank тощо
- **онлайн-сервіси**: NovaPay, інші

Якщо хочете, я можу **порівняти програми лояльності конкретно супермаркетів в Україні** й сказати, де вигідніше саме для ваших покупок.",
